ID,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose
570,23,female,1,rent,little,little,3234,24,furniture/equipment
571,38,male,2,own,little,,5954,30,radio/TV
572,26,female,3,rent,little,little,5433,24,car
573,22,female,1,own,little,little,806,15,business
574,27,male,1,own,little,moderate,1082,9,radio/TV
575,24,female,2,own,little,,2788,15,furniture/equipment
576,27,female,2,own,little,moderate,2930,12,radio/TV
577,33,female,2,own,little,little,1927,24,education
578,27,male,2,own,little,moderate,2820,36,car
579,27,male,1,own,little,,937,24,education
580,30,male,2,own,little,moderate,1056,18,car
581,49,male,1,own,little,moderate,3124,12,car
582,26,female,2,rent,little,,1388,9,furniture/equipment
583,33,male,1,rent,little,moderate,2384,36,repairs
584,52,female,3,free,little,little,2133,12,car
585,20,female,2,rent,little,little,2039,18,furniture/equipment
586,36,male,2,rent,little,little,2799,9,car
587,21,male,1,own,little,little,1289,12,furniture/equipment
588,47,male,1,own,little,little,1217,18,domestic appliances
589,60,male,2,own,little,little,2246,12,furniture/equipment
590,58,female,1,own,little,little,385,12,radio/TV
591,42,female,2,rent,little,moderate,1965,24,car
592,36,female,1,own,rich,little,1572,21,business
593,20,female,1,rent,little,moderate,2718,24,car
594,40,male,3,own,,little,1358,24,vacation/others
595,32,female,1,own,moderate,moderate,931,6,car
596,23,female,2,rent,little,little,1442,24,car
597,36,male,1,own,little,moderate,4241,24,business
598,31,male,2,own,little,little,2775,18,car
599,32,male,2,free,little,little,3863,24,business
600,45,female,2,own,little,moderate,2329,7,radio/TV
601,30,female,2,own,little,moderate,918,9,furniture/equipment
602,34,female,1,free,little,moderate,1837,24,education
603,28,female,3,own,little,,3349,36,furniture/equipment
604,23,female,2,own,little,rich,1275,10,furniture/equipment
605,22,male,2,own,quite rich,little,2828,24,furniture/equipment
606,74,male,3,own,little,,4526,24,business
607,50,female,2,free,moderate,moderate,2671,36,radio/TV
608,33,male,2,own,little,little,2051,18,radio/TV
609,45,male,2,free,little,little,1300,15,car
610,22,female,2,own,moderate,little,741,12,domestic appliances
611,48,female,1,free,moderate,rich,1240,10,car
612,29,female,2,own,rich,little,3357,21,radio/TV
613,22,female,2,rent,little,little,3632,24,car
614,22,female,2,own,little,,1808,18,furniture/equipment
615,48,male,3,own,little,moderate,12204,48,business
616,27,male,3,free,little,moderate,9157,60,radio/TV
617,37,male,2,rent,little,little,3676,6,car
618,21,female,2,rent,moderate,moderate,3441,30,furniture/equipment
619,49,male,1,own,little,,640,12,car
620,27,male,2,own,little,moderate,3652,21,business
621,32,male,2,own,little,,1530,18,car
622,38,male,2,own,little,little,3914,48,business
623,22,female,2,rent,little,little,1858,12,furniture/equipment
624,65,male,2,free,little,little,2600,18,radio/TV
625,35,male,2,own,little,little,1979,15,radio/TV
626,41,male,2,own,little,rich,2116,6,furniture/equipment
627,29,male,2,own,moderate,moderate,1437,9,car
628,36,male,2,own,quite rich,,4042,42,furniture/equipment
629,64,male,1,own,little,little,3832,9,education
630,28,female,2,own,little,little,3660,24,radio/TV
631,44,male,2,own,little,little,1553,18,furniture/equipment
632,23,male,2,own,,moderate,1444,15,radio/TV
633,19,female,2,rent,little,,1980,9,furniture/equipment
634,25,female,1,own,little,moderate,1355,24,car
635,47,male,2,own,little,,1393,12,education
636,28,female,2,own,quite rich,,1376,24,radio/TV
637,21,male,2,own,little,,15653,60,radio/TV
638,34,female,2,own,little,,1493,12,radio/TV
639,26,male,2,own,little,little,4370,42,radio/TV
640,27,female,0,own,little,little,750,18,education
641,38,male,1,own,little,moderate,1308,15,repairs
642,40,male,3,own,moderate,,4623,15,education
643,33,male,2,own,little,little,1851,24,radio/TV
644,32,male,3,own,little,little,1880,18,radio/TV
645,27,male,2,rent,little,little,7980,36,business
646,32,male,2,own,little,little,4583,30,furniture/equipment
647,26,female,2,own,quite rich,little,1386,12,car
648,38,male,2,free,little,rich,947,24,car
649,40,male,1,rent,little,little,684,12,education
650,50,male,3,free,little,little,7476,48,education
651,37,male,1,own,little,moderate,1922,12,furniture/equipment
652,45,male,2,own,little,little,2303,24,car
653,42,male,3,own,moderate,moderate,8086,36,car
654,35,male,2,own,little,,2346,24,car
655,22,male,2,free,little,little,3973,14,car
656,41,male,1,own,little,moderate,888,12,car
657,37,male,2,own,little,little,10222,48,radio/TV
658,28,female,2,own,little,moderate,4221,30,business
659,41,male,2,own,little,moderate,6361,18,furniture/equipment
660,23,male,2,rent,little,rich,1297,12,radio/TV
661,23,male,2,own,,little,900,12,car
662,50,male,2,own,little,,2241,21,furniture/equipment
663,35,male,3,own,little,moderate,1050,6,furniture/equipment
664,50,female,1,own,little,rich,1047,6,education
665,27,male,3,own,little,,6314,24,vacation/others
666,34,male,2,own,rich,moderate,3496,30,furniture/equipment
667,27,female,2,own,little,,3609,48,business
668,43,male,2,rent,little,little,4843,12,car
669,47,male,2,own,little,rich,3017,30,radio/TV
670,27,male,1,own,moderate,,4139,24,business
671,31,male,2,own,moderate,,5742,36,business
672,42,male,3,own,little,,10366,60,car
673,24,male,2,own,quite rich,,2080,6,car
674,41,male,1,own,quite rich,,2580,21,business
675,26,female,3,rent,little,,4530,30,radio/TV
676,33,male,2,own,little,,5150,24,furniture/equipment
677,24,male,2,own,moderate,moderate,5595,72,radio/TV
678,64,male,1,rent,little,little,2384,24,radio/TV
679,26,female,2,own,little,,1453,18,radio/TV
680,56,female,2,own,little,,1538,6,education
681,37,male,2,free,,,2279,12,radio/TV
682,33,male,2,own,little,,1478,15,radio/TV
683,47,male,2,free,little,,5103,24,radio/TV
684,31,male,1,own,moderate,moderate,9857,36,business
685,34,male,2,free,little,little,6527,60,car
686,27,male,2,own,,rich,1347,10,radio/TV
687,30,male,2,free,moderate,moderate,2862,36,car
688,35,male,2,own,moderate,,2753,9,radio/TV
689,31,male,2,own,rich,little,3651,12,car
690,25,male,2,own,little,little,975,15,furniture/equipment
691,25,female,1,own,moderate,moderate,2631,15,repairs
692,29,male,2,own,moderate,moderate,2896,24,radio/TV
693,44,male,1,own,little,little,4716,6,car
694,28,male,2,own,little,,2284,24,radio/TV
695,50,male,2,rent,quite rich,,1236,6,car
696,29,male,2,own,little,moderate,1103,12,radio/TV
697,38,female,0,own,little,,926,12,car
698,24,male,2,own,little,,1800,18,radio/TV
699,40,male,3,rent,little,rich,1905,15,education
